pattern,html_path,pdf_path,location,symmetry,website,set,svg_path
PA90,html/data164/PA90.html,contents/data164/PA90.pdf,"Alhambra, Sala de la Barca",p4m,https://tilingsearch.mit.edu/HTML/data164/PA90.html,set2,contents/data164/PA90.svg
P269C3,html/data164/P269C3.html,contents/data164/P269C3.pdf,"Private home, Casablanca",p4m,https://tilingsearch.mit.edu/HTML/data164/P269C3.html,set2,contents/data164/P269C3.svg
P66,html/data164/P66.html,contents/data164/P66.pdf,"Door of sculpted wood, Royal Palace Museum, Fez",p4m,https://tilingsearch.mit.edu/HTML/data164/P66.html,set3,contents/data164/P66.svg
P153,html/data164/P153.html,contents/data164/P153.pdf,"Pink gebs, in prayer room, Great Hassan II Mosque, Casablanca",p4m,https://tilingsearch.mit.edu/HTML/data164/P153.html,set3,contents/data164/P153.svg
F294,html/data164/F294.html,contents/data164/F294.pdf,Chester Beatty Library Koran,p4m,https://tilingsearch.mit.edu/HTML/data164/F294.html,set1,contents/data164/F294.svg
C2,html/data164/C2.html,contents/data164/C2.pdf,"Alhambra, Sala de los Ajimeces",p4m,https://tilingsearch.mit.edu/HTML/data164/C2.html,set1,contents/data164/C2.svg
P247,html/data164/P247.html,contents/data164/P247.pdf,"Fountain, Royal Palace, Fez",p4m,https://tilingsearch.mit.edu/HTML/data164/P247.html,set2,contents/data164/P247.svg
P153A,html/data164/P153A.html,contents/data164/P153A.pdf,"Pink grebs, small side windows, in prayer room, Great Hassan II Mosque, Casablanca",cmm,https://tilingsearch.mit.edu/HTML/data164/P153A.html,set2,contents/data164/P153A.svg
P99,html/data164/P99.html,contents/data164/P99.pdf,"Ceramic mosaic, Crafts Center, Marrakesh",p4m,https://tilingsearch.mit.edu/HTML/data164/P99.html,set3,contents/data164/P99.svg
A233,html/data164/A233.html,contents/data164/A233.pdf,"Alhambra, Patio de los Leones",p4m,https://tilingsearch.mit.edu/HTML/data164/A233.html,set1,contents/data164/A233.svg
MOR1118,html/data190/MOR1118.html,contents/data190/MOR1118.pdf,"Mosque, Rabat",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR1118.html,set2,contents/data190/MOR1118.svg
SPA0514X,html/data190/SPA0514X.html,contents/data190/SPA0514X.pdf,"Alhambra, Patio de los Leones",pmm,https://tilingsearch.mit.edu/HTML/data190/SPA0514X.html,set2,contents/data190/SPA0514X.svg
SPA0434X,html/data190/SPA0434X.html,contents/data190/SPA0434X.pdf,"Alhambra, Patio de los Leones",p4m,https://tilingsearch.mit.edu/HTML/data190/SPA0434X.html,set2,contents/data190/SPA0434X.svg
ALH1,html/data190/ALH1.html,contents/data190/ALH1.pdf,"Alhambra, Patio de los Leones",p4m,https://tilingsearch.mit.edu/HTML/data190/ALH1.html,set1,contents/data190/ALH1.svg
MOR0601,html/data190/MOR0601.html,contents/data190/MOR0601.pdf,"Fez, Morocco",p6m,https://tilingsearch.mit.edu/HTML/data190/MOR0601.html,set2,contents/data190/MOR0601.svg
MOR1505,html/data190/MOR1505.html,contents/data190/MOR1505.pdf,"Sultan's Palace, Tangier",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR1505.html,set2,contents/data190/MOR1505.svg
MOR0704,html/data190/MOR0704.html,contents/data190/MOR0704.pdf,"Moulay Ishmael Mosque, Fez",p6m,https://tilingsearch.mit.edu/HTML/data190/MOR0704.html,set2,contents/data190/MOR0704.svg
MOR2811X,html/data190/MOR2811X.html,contents/data190/MOR2811X.pdf,"Sakkala, Tetouan (carpet)",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR2811X.html,set3,contents/data190/MOR2811X.svg
MOR0421,html/data190/MOR0421.html,contents/data190/MOR0421.pdf,"Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0421.html,set3,contents/data190/MOR0421.svg
MOR1016,html/data190/MOR1016.html,contents/data190/MOR1016.pdf,Mausoleum of Moulay Ishmael,p4m,https://tilingsearch.mit.edu/HTML/data190/MOR1016.html,set3,contents/data190/MOR1016.svg
MOR0607,html/data190/MOR0607.html,contents/data190/MOR0607.pdf,"Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0607.html,set2,contents/data190/MOR0607.svg
JR40,html/data190/JR40.html,contents/data190/JR40.pdf,"Alhambra, Sala del Mexuar",p4m,https://tilingsearch.mit.edu/HTML/data190/JR40.html,set2,contents/data190/JR40.svg
MOR0410,html/data190/MOR0410.html,contents/data190/MOR0410.pdf,"Sefferine Madrasah, Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0410.html,set3,contents/data190/MOR0410.svg
MOR2832X,html/data190/MOR2832X.html,contents/data190/MOR2832X.pdf,"Bou Inania Madrasah, Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR2832X.html,set2,contents/data190/MOR2832X.svg
SPA0714,html/data190/SPA0714.html,contents/data190/SPA0714.pdf,"Alhambra, Torre de la Cautiva",p4m,https://tilingsearch.mit.edu/HTML/data190/SPA0714.html,set2,contents/data190/SPA0714.svg
MOR0406,html/data190/MOR0406.html,contents/data190/MOR0406.pdf,"Sefferine Madrasah, Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0406.html,set2,contents/data190/MOR0406.svg
MOR1237,html/data190/MOR1237.html,contents/data190/MOR1237.pdf,"Ben Youssef Madrasah, Marrakesh",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR1237.html,set2,contents/data190/MOR1237.svg
MOR2834X,html/data190/MOR2834X.html,contents/data190/MOR2834X.pdf,"Bou Inania Madrasah, Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR2834X.html,set3,contents/data190/MOR2834X.svg
SIC043,html/data190/SIC043.html,contents/data190/SIC043.pdf,"Monreale Cathedral, Palermo, Italy",p4m,https://tilingsearch.mit.edu/HTML/data190/SIC043.html,set3,contents/data190/SIC043.svg
SPA0508X,html/data190/SPA0508X.html,contents/data190/SPA0508X.pdf,"Alhambra, Patio de los Leones",p4m,https://tilingsearch.mit.edu/HTML/data190/SPA0508X.html,set3,contents/data190/SPA0508X.svg
SPA0417X,html/data190/SPA0417X.html,contents/data190/SPA0417X.pdf,"Alhambra, Leones patio",p4m,https://tilingsearch.mit.edu/HTML/data190/SPA0417X.html,set2,contents/data190/SPA0417X.svg
MOR1215,html/data190/MOR1215.html,contents/data190/MOR1215.pdf,"Bahia Palace, Marrakesh",p6m,https://tilingsearch.mit.edu/HTML/data190/MOR1215.html,set3,contents/data190/MOR1215.svg
SPA0426X,html/data190/SPA0426X.html,contents/data190/SPA0426X.pdf,"Alhambra, Patio de los Leones",p4m,https://tilingsearch.mit.edu/HTML/data190/SPA0426X.html,set3,contents/data190/SPA0426X.svg
ARIK1,html/data190/ARIK1.html,contents/data190/ARIK1.pdf,"Sultan Ahmed Mosque, Istanbul",p4m,https://tilingsearch.mit.edu/HTML/data190/ARIK1.html,set1,contents/data190/ARIK1.svg
MOR0428,html/data190/MOR0428.html,contents/data190/MOR0428.pdf,"Fez, Morocco",p4g,https://tilingsearch.mit.edu/HTML/data190/MOR0428.html,set2,contents/data190/MOR0428.svg
MOR0808,html/data190/MOR0808.html,contents/data190/MOR0808.pdf,"Tomb of Moulay Ishmael, Meknes",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0808.html,set2,contents/data190/MOR0808.svg
MOR0609,html/data190/MOR0609.html,contents/data190/MOR0609.pdf,"Moulay Ishmael Mosque, Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0609.html,set3,contents/data190/MOR0609.svg
MOR0825,html/data190/MOR0825.html,contents/data190/MOR0825.pdf,"Tomb of Moulay Ishmael, Meknes",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0825.html,set3,contents/data190/MOR0825.svg
MOR1218,html/data190/MOR1218.html,contents/data190/MOR1218.pdf,"Bahia Palace, Marrakesh",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR1218.html,set2,contents/data190/MOR1218.svg
MOR0517,html/data190/MOR0517.html,contents/data190/MOR0517.pdf,"Fez, Morocco",p4g,https://tilingsearch.mit.edu/HTML/data190/MOR0517.html,set2,contents/data190/MOR0517.svg
MOR3632X,html/data190/MOR3632X.html,contents/data190/MOR3632X.pdf,"Bou Inania Madrasah, Meknes",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR3632X.html,set3,contents/data190/MOR3632X.svg
MOR2804X,html/data190/MOR2804X.html,contents/data190/MOR2804X.pdf,"Sakkala, Tetouan",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR2804X.html,set2,contents/data190/MOR2804X.svg
MOR2841X,html/data190/MOR2841X.html,contents/data190/MOR2841X.pdf,"Bou Inania Madrasah, Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR2841X.html,set2,contents/data190/MOR2841X.svg
P070,html/data190/P070.html,contents/data190/P070.pdf,"Modification of Bourgoin, Plate 70",p4m,https://tilingsearch.mit.edu/HTML/data190/P070.html,set2,contents/data190/P070.svg
MOR0814,html/data190/MOR0814.html,contents/data190/MOR0814.pdf,"Tomb of Moulay Ishmael, Meknes",p6m,https://tilingsearch.mit.edu/HTML/data190/MOR0814.html,set3,contents/data190/MOR0814.svg
SPA0710,html/data190/SPA0710.html,contents/data190/SPA0710.pdf,"Alhambra, Torre de la Cautiva",p4m,https://tilingsearch.mit.edu/HTML/data190/SPA0710.html,set3,contents/data190/SPA0710.svg
MOR0910,html/data190/MOR0910.html,contents/data190/MOR0910.pdf,"Bou Inania Madrasah, Meknes",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0910.html,set2,contents/data190/MOR0910.svg
BER1,html/data190/BER1.html,contents/data190/BER1.pdf,"Berber Palace, Marrakesh",p6m,https://tilingsearch.mit.edu/HTML/data190/BER1.html,set1,contents/data190/BER1.svg
MOR0710,html/data190/MOR0710.html,contents/data190/MOR0710.pdf,Morocco,p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0710.html,set3,contents/data190/MOR0710.svg
MOR0815,html/data190/MOR0815.html,contents/data190/MOR0815.pdf,"Tomb of Moulay Ishmael, Meknes",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0815.html,set2,contents/data190/MOR0815.svg
MOR0511,html/data190/MOR0511.html,contents/data190/MOR0511.pdf,"Fez, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data190/MOR0511.html,set3,contents/data190/MOR0511.svg
MOR1137,html/data190/MOR1137.html,contents/data190/MOR1137.pdf,Rabat,p4m,https://tilingsearch.mit.edu/HTML/data190/MOR1137.html,set3,contents/data190/MOR1137.svg
P025,html/data10/P025.html,contents/data10/P025.pdf,"Bourgoin, Plate 25",p6m,https://tilingsearch.mit.edu/HTML/data10/P025.html,set2,contents/data10/P025.svg
P033,html/data10/P033.html,contents/data10/P033.pdf,"Bourgoin, Plate 33",p6m,https://tilingsearch.mit.edu/HTML/data10/P033.html,set3,contents/data10/P033.svg
P009,html/data10/P009.html,contents/data10/P009.pdf,"Bourgoin, Plate 9",p6,https://tilingsearch.mit.edu/HTML/data10/P009.html,set2,contents/data10/P009.svg
P029,html/data10/P029.html,contents/data10/P029.pdf,"Bourgoin, Plate 29",p4g,https://tilingsearch.mit.edu/HTML/data10/P029.html,set2,contents/data10/P029.svg
P023-B,html/data10/P023-B.html,contents/data10/P023-B.pdf,"Mausoleum of Tusf b. Kathir, Nakhicheven",p6m,https://tilingsearch.mit.edu/HTML/data10/P023-B.html,set2,contents/data10/P023-B.svg
P002T-B,html/data10/P002T-B.html,contents/data10/P002T-B.pdf,"Tata Shah Jehan mosque, Pakistan",p6m,https://tilingsearch.mit.edu/HTML/data10/P002T-B.html,set2,contents/data10/P002T-B.svg
P044,html/data10/P044.html,contents/data10/P044.pdf,"Bourgoin, Plate 44",p4m,https://tilingsearch.mit.edu/HTML/data10/P044.html,set3,contents/data10/P044.svg
P005,html/data10/P005.html,contents/data10/P005.pdf,"Bourgoin, Plate 5",p6m,https://tilingsearch.mit.edu/HTML/data10/P005.html,set2,contents/data10/P005.svg
P004,html/data10/P004.html,contents/data10/P004.pdf,"Bourgoin, Plate 4",p6m,https://tilingsearch.mit.edu/HTML/data10/P004.html,set3,contents/data10/P004.svg
P045,html/data10/P045.html,contents/data10/P045.pdf,"Bourgoin, Plate 45",p4m,https://tilingsearch.mit.edu/HTML/data10/P045.html,set2,contents/data10/P045.svg
P002T-C,html/data10/P002T-C.html,contents/data10/P002T-C.pdf,"Friday Mosque, Farumad",p6m,https://tilingsearch.mit.edu/HTML/data10/P002T-C.html,set3,contents/data10/P002T-C.svg
P028,html/data10/P028.html,contents/data10/P028.pdf,"Bourgoin, Plate 28",p4g,https://tilingsearch.mit.edu/HTML/data10/P028.html,set3,contents/data10/P028.svg
P023-C,html/data10/P023-C.html,contents/data10/P023-C.pdf,"Mausoleum of Mumine Katun,  Nakhicheven",p6m,https://tilingsearch.mit.edu/HTML/data10/P023-C.html,set3,contents/data10/P023-C.svg
P008,html/data10/P008.html,contents/data10/P008.pdf,"Bourgoin, Plate 8",p6,https://tilingsearch.mit.edu/HTML/data10/P008.html,set3,contents/data10/P008.svg
P023-D,html/data10/P023-D.html,contents/data10/P023-D.pdf,"Avamos, Sari Han",p6m,https://tilingsearch.mit.edu/HTML/data10/P023-D.html,set2,contents/data10/P023-D.svg
P039,html/data10/P039.html,contents/data10/P039.pdf,"Bourgoin, Plate 39",p6m,https://tilingsearch.mit.edu/HTML/data10/P039.html,set3,contents/data10/P039.svg
P042,html/data10/P042.html,contents/data10/P042.pdf,"Bourgoin, Plate 42",p4m,https://tilingsearch.mit.edu/HTML/data10/P042.html,set2,contents/data10/P042.svg
P003,html/data10/P003.html,contents/data10/P003.pdf,"Bourgoin, Plate 3",cmm,https://tilingsearch.mit.edu/HTML/data10/P003.html,set2,contents/data10/P003.svg
P023,html/data10/P023.html,contents/data10/P023.pdf,"Bourgoin, Plate 23",p6m,https://tilingsearch.mit.edu/HTML/data10/P023.html,set3,contents/data10/P023.svg
P019,html/data10/P019.html,contents/data10/P019.pdf,"Bourgoin, Plate 19",p6m,https://tilingsearch.mit.edu/HTML/data10/P019.html,set3,contents/data10/P019.svg
P018,html/data10/P018.html,contents/data10/P018.pdf,"Bourgoin, Plate 18",p6m,https://tilingsearch.mit.edu/HTML/data10/P018.html,set2,contents/data10/P018.svg
P002T,html/data10/P002T.html,contents/data10/P002T.pdf,"Bourgoin, Plate 2, top figure",p6m,https://tilingsearch.mit.edu/HTML/data10/P002T.html,set3,contents/data10/P002T.svg
P034,html/data10/P034.html,contents/data10/P034.pdf,"Bourgoin, Plate 34",cmm,https://tilingsearch.mit.edu/HTML/data10/P034.html,set2,contents/data10/P034.svg
P022,html/data10/P022.html,contents/data10/P022.pdf,"Bourgoin, Plate 22",p6m,https://tilingsearch.mit.edu/HTML/data10/P022.html,set2,contents/data10/P022.svg
P014,html/data10/P014.html,contents/data10/P014.pdf,"Bourgoin, Plate 14",p6m,https://tilingsearch.mit.edu/HTML/data10/P014.html,set3,contents/data10/P014.svg
P017,html/data10/P017.html,contents/data10/P017.pdf,"Bourgoin, Plate 17",p6m,https://tilingsearch.mit.edu/HTML/data10/P017.html,set3,contents/data10/P017.svg
P002B,html/data10/P002B.html,contents/data10/P002B.pdf,"Bourgoin, Plate 2, bottom figure",p6m,https://tilingsearch.mit.edu/HTML/data10/P002B.html,set2,contents/data10/P002B.svg
P021,html/data10/P021.html,contents/data10/P021.pdf,"Bourgoin, Plate 21",p6m,https://tilingsearch.mit.edu/HTML/data10/P021.html,set3,contents/data10/P021.svg
P020,html/data10/P020.html,contents/data10/P020.pdf,"Bourgoin, Plate 20",p6m,https://tilingsearch.mit.edu/HTML/data10/P020.html,set2,contents/data10/P020.svg
P000,html/data10/P000.html,contents/data10/P000.pdf,Mosque at Cheykhoun,p4m,https://tilingsearch.mit.edu/HTML/data10/P000.html,set3,contents/data10/P000.svg
P031,html/data10/P031.html,contents/data10/P031.pdf,"Bourgoin, Plate 31",p6m,https://tilingsearch.mit.edu/HTML/data10/P031.html,set2,contents/data10/P031.svg
P027,html/data10/P027.html,contents/data10/P027.pdf,"Bourgoin, Plate 27",p4g,https://tilingsearch.mit.edu/HTML/data10/P027.html,set2,contents/data10/P027.svg
P050,html/data10/P050.html,contents/data10/P050.pdf,"Bourgoin, Plate 50",pmm,https://tilingsearch.mit.edu/HTML/data10/P050.html,set3,contents/data10/P050.svg
P007,html/data10/P007.html,contents/data10/P007.pdf,"Bourgoin, Plate 7",p31m,https://tilingsearch.mit.edu/HTML/data10/P007.html,set2,contents/data10/P007.svg
P011,html/data10/P011.html,contents/data10/P011.pdf,"Bourgoin, Plate 11",p6m,https://tilingsearch.mit.edu/HTML/data10/P011.html,set2,contents/data10/P011.svg
P046,html/data10/P046.html,contents/data10/P046.pdf,"Bourgoin, Plate 46",p4m,https://tilingsearch.mit.edu/HTML/data10/P046.html,set3,contents/data10/P046.svg
P023-A,html/data10/P023-A.html,contents/data10/P023-A.pdf,"Hatun Han, Pozar, Turkey",p6m,https://tilingsearch.mit.edu/HTML/data10/P023-A.html,set3,contents/data10/P023-A.svg
P002T-A,html/data10/P002T-A.html,contents/data10/P002T-A.pdf,Quran from Mosul,p6m,https://tilingsearch.mit.edu/HTML/data10/P002T-A.html,set3,contents/data10/P002T-A.svg
P047,html/data10/P047.html,contents/data10/P047.pdf,"Bourgoin, Plate 47",p4m,https://tilingsearch.mit.edu/HTML/data10/P047.html,set2,contents/data10/P047.svg
P010,html/data10/P010.html,contents/data10/P010.pdf,"Bourgoin, Plate 10",p6,https://tilingsearch.mit.edu/HTML/data10/P010.html,set3,contents/data10/P010.svg
P006,html/data10/P006.html,contents/data10/P006.pdf,"Bourgoin, Plate 6",p6m,https://tilingsearch.mit.edu/HTML/data10/P006.html,set3,contents/data10/P006.svg
P030,html/data10/P030.html,contents/data10/P030.pdf,"Bourgoin, Plate 30",p4g,https://tilingsearch.mit.edu/HTML/data10/P030.html,set3,contents/data10/P030.svg
P002T-X,html/data10/P002T-X.html,contents/data10/P002T-X.pdf,"Malek mosque, Kerman",p6m,https://tilingsearch.mit.edu/HTML/data10/P002T-X.html,set2,contents/data10/P002T-X.svg
IRAN13,html/data197/IRAN13.html,contents/data197/IRAN13.pdf,"Tomb of Shah Abol Qasem, Yazd",cmm,https://tilingsearch.mit.edu/HTML/data197/IRAN13.html,set2,contents/data197/IRAN13.svg
IRAN1,html/data197/IRAN1.html,contents/data197/IRAN1.pdf,"Pakistan, Tata, Shah Jehan mosque",p4m,https://tilingsearch.mit.edu/HTML/data197/IRAN1.html,set2,contents/data197/IRAN1.svg
MAR1,html/data197/MAR1.html,contents/data197/MAR1.pdf,"El Badi Palace, Marrakesh",p4m,https://tilingsearch.mit.edu/HTML/data197/MAR1.html,set2,contents/data197/MAR1.svg
IRAN12,html/data197/IRAN12.html,contents/data197/IRAN12.pdf,"Navab Madrasah, Mashhad",pmm,https://tilingsearch.mit.edu/HTML/data197/IRAN12.html,set3,contents/data197/IRAN12.svg
IRAN6,html/data197/IRAN6.html,contents/data197/IRAN6.pdf,"Shah Mosque, Mashad",cmm,https://tilingsearch.mit.edu/HTML/data197/IRAN6.html,set3,contents/data197/IRAN6.svg
IRAN15,html/data197/IRAN15.html,contents/data197/IRAN15.pdf,"Atabaki courtyard, Qom",p4m,https://tilingsearch.mit.edu/HTML/data197/IRAN15.html,set2,contents/data197/IRAN15.svg
SYR0222,html/data197/SYR0222.html,contents/data197/SYR0222.pdf,"Ibn al-Arabi Mausoleum, Damascus",p6m,https://tilingsearch.mit.edu/HTML/data197/SYR0222.html,set3,contents/data197/SYR0222.svg
MOLS1,html/data197/MOLS1.html,contents/data197/MOLS1.pdf,Madrasah of Amir Taybars al-Wazir,p6m,https://tilingsearch.mit.edu/HTML/data197/MOLS1.html,set3,contents/data197/MOLS1.svg
IRAN14,html/data197/IRAN14.html,contents/data197/IRAN14.pdf,"Nim Avard Madrasah, Isfahan",p4,https://tilingsearch.mit.edu/HTML/data197/IRAN14.html,set3,contents/data197/IRAN14.svg
REU1,html/data197/REU1.html,contents/data197/REU1.pdf,House in Bagdad,pmm,https://tilingsearch.mit.edu/HTML/data197/REU1.html,set2,contents/data197/REU1.svg
IND0724,html/data197/IND0724.html,contents/data197/IND0724.pdf,Fatehpur Sikri,cmm,https://tilingsearch.mit.edu/HTML/data197/IND0724.html,set2,contents/data197/IND0724.svg
IRAN7,html/data197/IRAN7.html,contents/data197/IRAN7.pdf,"Tabriz, Blue mosque",p6m,https://tilingsearch.mit.edu/HTML/data197/IRAN7.html,set2,contents/data197/IRAN7.svg
SAM2,html/data197/SAM2.html,contents/data197/SAM2.pdf,"Samarkand, Shah-i-Zinda",pmm,https://tilingsearch.mit.edu/HTML/data197/SAM2.html,set3,contents/data197/SAM2.svg
IRAN4,html/data197/IRAN4.html,contents/data197/IRAN4.pdf,Ceiling design,cmm,https://tilingsearch.mit.edu/HTML/data197/IRAN4.html,set3,contents/data197/IRAN4.svg
DEC1,html/data197/DEC1.html,contents/data197/DEC1.pdf,Abdulla and Modari Khan Madrasahs,pmm,https://tilingsearch.mit.edu/HTML/data197/DEC1.html,set1,contents/data197/DEC1.svg
SK,html/data197/SK.html,contents/data197/SK.pdf,Geometric wood door panels,p4m,https://tilingsearch.mit.edu/HTML/data197/SK.html,set2,contents/data197/SK.svg
IRAN17,html/data197/IRAN17.html,contents/data197/IRAN17.pdf,"Jame' Atiq mosque, Shiraz",p4,https://tilingsearch.mit.edu/HTML/data197/IRAN17.html,set2,contents/data197/IRAN17.svg
IRAN8,html/data197/IRAN8.html,contents/data197/IRAN8.pdf,"Bastam, Tomb of Bayezit Bastami",p6m,https://tilingsearch.mit.edu/HTML/data197/IRAN8.html,set3,contents/data197/IRAN8.svg
RH1,html/data197/RH1.html,contents/data197/RH1.pdf,"Friday mosque, Isfahan",p6m,https://tilingsearch.mit.edu/HTML/data197/RH1.html,set3,contents/data197/RH1.svg
IRAN16,html/data197/IRAN16.html,contents/data197/IRAN16.pdf,"Amol, the Mir Qavam al-Din Mar'ashi building",cmm,https://tilingsearch.mit.edu/HTML/data197/IRAN16.html,set3,contents/data197/IRAN16.svg
MAU,html/data197/MAU.html,contents/data197/MAU.pdf,Madrasah-al-Mustansiriya,p6m,https://tilingsearch.mit.edu/HTML/data197/MAU.html,set3,contents/data197/MAU.svg
KOK1,html/data197/KOK1.html,contents/data197/KOK1.pdf,Kok Gumbaz Mosque and Dorut Tilyovat Complex,p4m,https://tilingsearch.mit.edu/HTML/data197/KOK1.html,set2,contents/data197/KOK1.svg
SAM3,html/data197/SAM3.html,contents/data197/SAM3.pdf,"Bibi-Khanym Mosque, Samarkand",p4m,https://tilingsearch.mit.edu/HTML/data197/SAM3.html,set2,contents/data197/SAM3.svg
IRAN20,html/data197/IRAN20.html,contents/data197/IRAN20.pdf,"Golestan Palace, Tehran",p4m,https://tilingsearch.mit.edu/HTML/data197/IRAN20.html,set3,contents/data197/IRAN20.svg
SK3,html/data197/SK3.html,contents/data197/SK3.pdf,Marble mosaic panel,p4m,https://tilingsearch.mit.edu/HTML/data197/SK3.html,set3,contents/data197/SK3.svg
FM1,html/data197/FM1.html,contents/data197/FM1.pdf,"Friday mosque, Yazd",p6m,https://tilingsearch.mit.edu/HTML/data197/FM1.html,set1,contents/data197/FM1.svg
IRAN11,html/data197/IRAN11.html,contents/data197/IRAN11.pdf,"Vol2, page 43",p6m,https://tilingsearch.mit.edu/HTML/data197/IRAN11.html,set2,contents/data197/IRAN11.svg
B170,html/data197/B170.html,contents/data197/B170.pdf,al-Qadi Yahya mosque,p6m,https://tilingsearch.mit.edu/HTML/data197/B170.html,set1,contents/data197/B170.svg
IRAN2,html/data197/IRAN2.html,contents/data197/IRAN2.pdf,"Friday mosque, Isfahan",p6m,https://tilingsearch.mit.edu/HTML/data197/IRAN2.html,set2,contents/data197/IRAN2.svg
IRAN10,html/data197/IRAN10.html,contents/data197/IRAN10.pdf,"Atabaki courtyard, Qom",p4m,https://tilingsearch.mit.edu/HTML/data197/IRAN10.html,set3,contents/data197/IRAN10.svg
JR179,html/data163/JR179.html,contents/data163/JR179.pdf,John Rigby's Photo number 179,p4m,https://tilingsearch.mit.edu/HTML/data163/JR179.html,set2,contents/data163/JR179.svg
AI1,html/data163/AI1.html,contents/data163/AI1.pdf,"Alhambra, Fleurent",p4m,https://tilingsearch.mit.edu/HTML/data163/AI1.html,set1,contents/data163/AI1.svg
P081,html/data163/P081.html,contents/data163/P081.pdf,"Bourgoin, Plate 81",p6m,https://tilingsearch.mit.edu/HTML/data163/P081.html,set3,contents/data163/P081.svg
VA1,html/data163/VA1.html,contents/data163/VA1.pdf,Victoria and Albert window,p4m,https://tilingsearch.mit.edu/HTML/data163/VA1.html,set2,contents/data163/VA1.svg
JR38a,html/data163/JR38a.html,contents/data163/JR38a.pdf,"Alhambra, Sala del Mexuar",p4m,https://tilingsearch.mit.edu/HTML/data163/JR38a.html,set3,contents/data163/JR38a.svg
E55,html/data163/E55.html,contents/data163/E55.pdf,"Alhambra, Sala de la Barca",p4m,https://tilingsearch.mit.edu/HTML/data163/E55.html,set1,contents/data163/E55.svg
P083,html/data163/P083.html,contents/data163/P083.pdf,"Bourgoin, Plate 83",p4m,https://tilingsearch.mit.edu/HTML/data163/P083.html,set3,contents/data163/P083.svg
